"","Country","Year","population_density"
"1","Albania",1985,108.2029927
"2","Albania",1986,110.315146
"3","Albania",1987,112.5403285
"4","Albania",1988,114.6837956
"5","Albania",1989,117.8081387
"6","Albania",1990,119.9467883
"7","Albania",1991,119.2259124
"8","Albania",1992,118.505073
"9","Albania",1993,117.7841971
"10","Albania",1994,117.0633577
"11","Albania",1995,116.3424818
"12","Albania",1996,115.6216423
"13","Albania",1997,114.9007664
"14","Albania",1998,114.179927
"15","Albania",1999,113.4590511
"16","Albania",2000,112.7382117
"17","Albania",2001,111.685146
"18","Albania",2002,111.3507299
"19","Albania",2003,110.9348905
"20","Albania",2004,110.4722263
"21","Albania",2005,109.9082847
"22","Albania",2006,109.2170438
"23","Albania",2007,108.394781
"24","Albania",2008,107.5662044
"25","Albania",2009,106.8437591
"26","Albania",2010,106.314635
"27","Albania",2011,106.0290146
"28","Albania",2012,105.8540511
"29","Albania",2013,105.660292
"30","Albania",2014,105.4417518
"31","Albania",2015,105.135146
"32","Albania",2016,104.9671898
"33","Antigua and Barbuda",1985,158.5954545
"34","Antigua and Barbuda",1986,156.3840909
"35","Antigua and Barbuda",1987,154.1931818
"36","Antigua and Barbuda",1988,152.4045455
"37","Antigua and Barbuda",1989,151.425
"38","Antigua and Barbuda",1990,151.5818182
"39","Antigua and Barbuda",1991,152.9704545
"40","Antigua and Barbuda",1992,155.5159091
"41","Antigua and Barbuda",1993,158.95
"42","Antigua and Barbuda",1994,162.9977273
"43","Antigua and Barbuda",1995,167.3159091
"44","Antigua and Barbuda",1996,171.8818182
"45","Antigua and Barbuda",1997,176.6795455
"46","Antigua and Barbuda",1998,181.4795455
"47","Antigua and Barbuda",1999,185.9795455
"48","Antigua and Barbuda",2000,189.9636364
"49","Antigua and Barbuda",2001,193.3113636
"50","Antigua and Barbuda",2002,196.0590909
"51","Antigua and Barbuda",2003,198.3931818
"52","Antigua and Barbuda",2004,200.5840909
"53","Antigua and Barbuda",2005,202.8477273
"54","Antigua and Barbuda",2006,205.2295455
"55","Antigua and Barbuda",2007,207.6840909
"56","Antigua and Barbuda",2008,210.1772727
"57","Antigua and Barbuda",2009,212.6840909
"58","Antigua and Barbuda",2010,215.1386364
"59","Antigua and Barbuda",2011,217.5431818
"60","Antigua and Barbuda",2012,219.9477273
"61","Antigua and Barbuda",2013,222.3272727
"62","Antigua and Barbuda",2014,224.7159091
"63","Antigua and Barbuda",2015,227.0977273
"64","Antigua and Barbuda",2016,229.4613636
"65","Argentina",1985,11.10421093
"66","Argentina",1986,11.27538888
"67","Argentina",1987,11.44684747
"68","Argentina",1988,11.61823846
"69","Argentina",1989,11.78926404
"70","Argentina",1990,11.95960777
"71","Argentina",1991,12.12922107
"72","Argentina",1992,12.29775788
"73","Argentina",1993,12.46429702
"74","Argentina",1994,12.62770537
"75","Argentina",1995,12.78727733
"76","Argentina",1996,12.94252619
"77","Argentina",1997,13.0939087
"78","Argentina",1998,13.24285542
"79","Argentina",1999,13.39138448
"80","Argentina",2000,13.54097541
"81","Argentina",2001,13.69227388
"82","Argentina",2002,13.84496235
"83","Argentina",2003,13.9984357
"84","Argentina",2004,14.1516562
"85","Argentina",2005,14.30395405
"86","Argentina",2006,14.45501317
"87","Argentina",2007,14.60531664
"88","Argentina",2008,14.75592376
"89","Argentina",2009,14.90830419
"90","Argentina",2010,15.06341201
"91","Argentina",2011,15.22162868
"92","Argentina",2012,15.38235569
"93","Argentina",2013,15.54429804
"94","Argentina",2014,15.7056572
"95","Argentina",2015,15.8650651
"96","Argentina",2016,16.0220668
"97","Armenia",1985,117.1736916
"98","Armenia",1986,119.1519494
"99","Armenia",1987,121.2484018
"100","Armenia",1988,123.0997893
"101","Armenia",1989,124.2173867
"102","Armenia",1990,124.2769582
"103","Armenia",1991,123.1208641
"104","Armenia",1992,120.9276431
"105","Armenia",1993,118.1277836
"106","Armenia",1994,115.3375483
"107","Armenia",1995,113.0081489
"108","Armenia",1996,111.2825782
"109","Armenia",1997,110.0486828
"110","Armenia",1998,109.1915701
"111","Armenia",1999,108.5007727
"112","Armenia",2000,107.8183351
"113","Armenia",2001,107.1533193
"114","Armenia",2002,106.5646997
"115","Armenia",2003,105.9995083
"116","Armenia",2004,105.3955743
"117","Armenia",2005,104.7158061
"118","Armenia",2006,103.9164032
"119","Armenia",2007,103.0226906
"120","Armenia",2008,102.1503337
"121","Armenia",2009,101.4606252
"122","Armenia",2010,101.0646646
"123","Armenia",2011,101.0038988
"124","Armenia",2012,101.2266245
"125","Armenia",2013,101.6336143
"126","Armenia",2014,102.0800843
"127","Armenia",2015,102.4569723
"128","Armenia",2016,102.7332631
"129","Aruba",1985,350.1444444
"130","Aruba",1986,348.0222222
"131","Aruba",1987,343.5166667
"132","Aruba",1988,339.3277778
"133","Aruba",1989,339.0666667
"134","Aruba",1990,345.2722222
"135","Aruba",1991,359.0111111
"136","Aruba",1992,379.0833333
"137","Aruba",1993,402.8
"138","Aruba",1994,426.1111111
"139","Aruba",1995,446.2444444
"140","Aruba",1996,462.2222222
"141","Aruba",1997,474.7277778
"142","Aruba",1998,484.8722222
"143","Aruba",1999,494.4722222
"144","Aruba",2000,504.7388889
"145","Aruba",2001,516.1
"146","Aruba",2002,527.7333333
"147","Aruba",2003,538.9833333
"148","Aruba",2004,548.5388889
"149","Aruba",2005,555.7277778
"150","Aruba",2006,560.1777778
"151","Aruba",2007,562.3333333
"152","Aruba",2008,563.0722222
"153","Aruba",2009,563.6277778
"154","Aruba",2010,564.8277778
"155","Aruba",2011,566.9611111
"156","Aruba",2012,569.8722222
"157","Aruba",2013,573.2611111
"158","Aruba",2014,576.6388889
"159","Aruba",2015,579.6722222
"160","Aruba",2016,582.3444444
"161","Australia",1985,2.051208622
"162","Australia",1986,2.085104721
"163","Australia",1987,2.117061297
"164","Australia",1988,2.151985733
"165","Australia",1989,2.188719524
"166","Australia",1990,2.22135298
"167","Australia",1991,2.249847051
"168","Australia",1992,2.277312784
"169","Australia",1993,2.299701912
"170","Australia",1994,2.32417375
"171","Australia",1995,2.352420499
"172","Australia",1996,2.383530974
"173","Australia",1997,2.41034586
"174","Australia",1998,2.435598714
"175","Australia",1999,2.463585124
"176","Australia",2000,2.493133567
"177","Australia",2001,2.526977598
"178","Australia",2002,2.558009971
"179","Australia",2003,2.589771292
"180","Australia",2004,2.619970582
"181","Australia",2005,2.654777866
"182","Australia",2006,2.694232196
"183","Australia",2007,2.711115161
"184","Australia",2008,2.765994559
"185","Australia",2009,2.823594496
"186","Australia",2010,2.867858584
"187","Australia",2011,2.90798641
"188","Australia",2012,2.960373196
"189","Australia",2013,3.012886896
"190","Australia",2014,3.059518373
"191","Australia",2015,3.104641058
"192","Australia",2016,3.147522887
"193","Austria",1985,91.60795592
"194","Austria",1986,91.66619036
"195","Austria",1987,91.72421894
"196","Austria",1988,91.85416566
"197","Austria",1989,92.26891499
"198","Austria",1990,92.97469121
"199","Austria",1991,93.90761686
"200","Austria",1992,94.94682732
"201","Austria",1993,95.73302252
"202","Austria",1994,96.1021797
"203","Austria",1995,96.24943085
"204","Austria",1996,96.37947445
"205","Austria",1997,96.4887503
"206","Austria",1998,96.59468394
"207","Austria",1999,96.78280455
"208","Austria",2000,97.01581497
"209","Austria",2001,97.38790264
"210","Austria",2002,97.86821264
"211","Austria",2003,98.34612497
"212","Austria",2004,98.95817389
"213","Austria",2005,99.63464519
"214","Austria",2006,100.1288569
"215","Austria",2007,100.456383
"216","Austria",2008,100.7713458
"217","Austria",2009,101.0356656
"218","Austria",2010,101.2874302
"219","Austria",2011,101.6417364
"220","Austria",2012,102.1148654
"221","Austria",2013,102.7471302
"222","Austria",2014,103.5633242
"223","Austria",2015,104.7307927
"224","Austria",2016,105.8694934
"225","Azerbaijan",1985,80.10929257
"226","Azerbaijan",1986,81.45731041
"227","Azerbaijan",1987,82.83764135
"228","Azerbaijan",1988,84.23802829
"229","Azerbaijan",1989,85.64224858
"230","Azerbaijan",1990,86.02809522
"231","Azerbaijan",1991,87.37397407
"232","Azerbaijan",1992,88.70783406
"233","Azerbaijan",1993,90.06572965
"234","Azerbaijan",1994,91.29144071
"235","Azerbaijan",1995,92.34891692
"236","Azerbaijan",1996,93.28622538
"237","Azerbaijan",1997,94.19048771
"238","Azerbaijan",1998,95.23178903
"239","Azerbaijan",1999,96.52076658
"240","Azerbaijan",2000,97.43477998
"241","Azerbaijan",2001,98.19378742
"242","Azerbaijan",2002,98.91246693
"243","Azerbaijan",2003,99.62372121
"244","Azerbaijan",2004,100.4753702
"245","Azerbaijan",2005,101.5225018
"246","Azerbaijan",2006,102.6725292
"247","Azerbaijan",2007,103.8533638
"248","Azerbaijan",2008,106.05976
"249","Azerbaijan",2009,108.2912879
"250","Azerbaijan",2010,109.5423494
"251","Azerbaijan",2011,110.9763389
"252","Azerbaijan",2012,112.4607929
"253","Azerbaijan",2013,113.9234754
"254","Azerbaijan",2014,115.3488166
"255","Azerbaijan",2015,116.7310795
"256","Azerbaijan",2016,118.033289
"257","Bahrain",1985,607.8695652
"258","Bahrain",1986,628.2347826
"259","Bahrain",1987,650.6855072
"260","Bahrain",1988,674.2057971
"261","Bahrain",1989,697.2318841
"262","Bahrain",1990,718.7405797
"263","Bahrain",1991,738.7898551
"264","Bahrain",1992,736.7422535
"265","Bahrain",1993,755.2295775
"266","Bahrain",1994,774.0676056
"267","Bahrain",1995,793.9422535
"268","Bahrain",1996,815.0253521
"269","Bahrain",1997,837.9295775
"270","Bahrain",1998,864.3690141
"271","Bahrain",1999,896.5422535
"272","Bahrain",2000,936.0760563
"273","Bahrain",2001,982.4633803
"274","Bahrain",2002,1035.419718
"275","Bahrain",2003,1081.543056
"276","Bahrain",2004,1136.778082
"277","Bahrain",2005,1201.578378
"278","Bahrain",2006,1295.154054
"279","Bahrain",2007,1381.188
"280","Bahrain",2008,1466.565789
"281","Bahrain",2009,1559.248684
"282","Bahrain",2010,1628.427887
"283","Bahrain",2011,1666.582856
"284","Bahrain",2012,1688.593506
"285","Bahrain",2013,1708.325974
"286","Bahrain",2014,1733.329477
"287","Bahrain",2015,1763.309699
"288","Bahrain",2016,1831.83926
"289","Barbados",1985,595.172093
"290","Barbados",1986,597.0604651
"291","Barbados",1987,599.0953488
"292","Barbados",1988,601.2255814
"293","Barbados",1989,603.3906977
"294","Barbados",1990,605.5209302
"295","Barbados",1991,607.6162791
"296","Barbados",1992,609.7302326
"297","Barbados",1993,611.8348837
"298","Barbados",1994,613.9883721
"299","Barbados",1995,616.1837209
"300","Barbados",1996,618.4697674
"301","Barbados",1997,620.8023256
"302","Barbados",1998,623.1395349
"303","Barbados",1999,625.4
"304","Barbados",2000,627.5511628
"305","Barbados",2001,629.5
"306","Barbados",2002,631.344186
"307","Barbados",2003,633.1581395
"308","Barbados",2004,635.0953488
"309","Barbados",2005,637.2302326
"310","Barbados",2006,639.6255814
"311","Barbados",2007,642.2093023
"312","Barbados",2008,644.927907
"313","Barbados",2009,647.6046512
"314","Barbados",2010,650.1604651
"315","Barbados",2011,652.5604651
"316","Barbados",2012,654.8488372
"317","Barbados",2013,656.9976744
"318","Barbados",2014,659.0348837
"319","Barbados",2015,660.9697674
"320","Barbados",2016,662.7813953
"321","Belarus",1985,49.17669099
"322","Belarus",1986,49.51193059
"323","Belarus",1987,49.84717018
"324","Belarus",1988,49.99014001
"325","Belarus",1989,50.13803983
"326","Belarus",1990,50.23170972
"327","Belarus",1991,50.25635969
"328","Belarus",1992,50.36481956
"329","Belarus",1993,50.47820943
"330","Belarus",1994,50.4190495
"331","Belarus",1995,50.25635969
"332","Belarus",1996,50.08873989
"333","Belarus",1997,49.87675015
"334","Belarus",1998,49.64011043
"335","Belarus",1999,49.43175902
"336","Belarus",2000,49.19941826
"337","Belarus",2001,48.94768783
"338","Belarus",2002,48.6394912
"339","Belarus",2003,48.30029581
"340","Belarus",2004,47.97665796
"341","Belarus",2005,47.64539269
"342","Belarus",2006,47.33821587
"343","Belarus",2007,47.1215032
"344","Belarus",2008,46.95901922
"345","Belarus",2009,46.87291687
"346","Belarus",2010,46.77468211
"347","Belarus",2011,46.6865704
"348","Belarus",2012,46.6438076
"349","Belarus",2013,46.65166793
"350","Belarus",2014,46.67867468
"351","Belarus",2015,46.75194176
"352","Belarus",2016,46.8083514
"353","Belgium",2000,338.5485469
"354","Belgium",2001,339.7149934
"355","Belgium",2002,341.2412483
"356","Belgium",2003,342.6728203
"357","Belgium",2004,344.1590819
"358","Belgium",2005,346.0573646
"359","Belgium",2006,348.347358
"360","Belgium",2007,350.9147952
"361","Belgium",2008,353.6979194
"362","Belgium",2009,356.555251
"363","Belgium",2010,359.8278071
"364","Belgium",2011,364.8528402
"365","Belgium",2012,367.5114267
"366","Belgium",2013,369.3136394
"367","Belgium",2014,370.180218
"368","Belgium",2015,372.3314399
"369","Belgium",2016,374.2213342
"370","Belize",1985,7.23020605
"371","Belize",1986,7.433932486
"372","Belize",1987,7.642262166
"373","Belize",1988,7.848662867
"374","Belize",1989,8.043358176
"375","Belize",1990,8.222358615
"376","Belize",1991,8.379044279
"377","Belize",1992,8.518939062
"378","Belize",1993,8.66356861
"379","Belize",1994,8.841473038
"380","Belize",1995,9.073345024
"381","Belize",1996,9.367645769
"382","Belize",1997,9.715300307
"383","Belize",1998,10.09574748
"384","Belize",1999,10.47900044
"385","Belize",2000,10.84239369
"386","Belize",2001,11.17860587
"387","Belize",2002,11.49522139
"388","Belize",2003,11.79877247
"389","Belize",2004,12.10385796
"390","Belize",2005,12.4189829
"391","Belize",2006,12.74647085
"392","Belize",2007,13.08228847
"393","Belize",2008,13.42240246
"394","Belize",2009,13.76277948
"395","Belize",2010,14.09943007
"396","Belize",2011,14.43191583
"397","Belize",2012,14.76111355
"398","Belize",2013,15.08903989
"399","Belize",2014,15.41841298
"400","Belize",2015,15.75133713
"401","Belize",2016,16.0874178
"402","Bosnia and Herzegovina",1985,85.78378906
"403","Bosnia and Herzegovina",1986,86.6309375
"404","Bosnia and Herzegovina",1987,87.47107422
"405","Bosnia and Herzegovina",1988,88.04796875
"406","Bosnia and Herzegovina",1989,88.02056641
"407","Bosnia and Herzegovina",1990,87.17621094
"408","Bosnia and Herzegovina",1991,85.38287109
"409","Bosnia and Herzegovina",1992,82.79597656
"410","Bosnia and Herzegovina",1993,79.84373047
"411","Bosnia and Herzegovina",1994,77.1253125
"412","Bosnia and Herzegovina",1995,75.0725
"413","Bosnia and Herzegovina",1996,73.83550781
"414","Bosnia and Herzegovina",1997,73.28966797
"415","Bosnia and Herzegovina",1998,73.25166016
"416","Bosnia and Herzegovina",1999,73.42027344
"417","Bosnia and Herzegovina",2000,73.56847656
"418","Bosnia and Herzegovina",2001,73.65789063
"419","Bosnia and Herzegovina",2002,73.74623047
"420","Bosnia and Herzegovina",2003,73.81341797
"421","Bosnia and Herzegovina",2004,73.85326172
"422","Bosnia and Herzegovina",2005,73.85800781
"423","Bosnia and Herzegovina",2006,73.81773438
"424","Bosnia and Herzegovina",2007,73.7109375
"425","Bosnia and Herzegovina",2008,73.50779297
"426","Bosnia and Herzegovina",2009,73.17501953
"427","Bosnia and Herzegovina",2010,72.69695313
"428","Bosnia and Herzegovina",2011,72.04814453
"429","Bosnia and Herzegovina",2012,71.25390625
"430","Bosnia and Herzegovina",2013,70.41013672
"431","Bosnia and Herzegovina",2014,69.64847656
"432","Bosnia and Herzegovina",2015,69.06173828
"433","Bosnia and Herzegovina",2016,68.6878125
"434","Brazil",1985,16.23283183
"435","Brazil",1986,16.57060829
"436","Brazil",1987,16.90250319
"437","Brazil",1988,17.22889806
"438","Brazil",1989,17.55079252
"439","Brazil",1990,17.86906477
"440","Brazil",1991,18.1830619
"441","Brazil",1992,18.4926644
"442","Brazil",1993,18.79995812
"443","Brazil",1994,19.10773485
"444","Brazil",1995,19.41779056
"445","Brazil",1996,19.73086189
"446","Brazil",1997,20.0457475
"447","Brazil",1998,20.35986954
"448","Brazil",1999,20.66957995
"449","Brazil",2000,20.97208075
"450","Brazil",2001,21.26677347
"451","Brazil",2002,21.55396069
"452","Brazil",2003,21.83286581
"453","Brazil",2004,22.10281929
"454","Brazil",2005,22.36351162
"455","Brazil",2006,22.61417157
"456","Brazil",2007,22.8551612
"457","Brazil",2008,23.08875288
"458","Brazil",2009,23.31810618
"459","Brazil",2010,23.54546215
"460","Brazil",2011,23.77163914
"461","Brazil",2012,23.995887
"462","Brazil",2013,24.21694683
"463","Brazil",2014,24.43284427
"464","Brazil",2015,24.64209836
"465","Brazil",2016,24.84438703
"466","Bulgaria",1985,80.9956341
"467","Bulgaria",1986,80.9741571
"468","Bulgaria",1987,81.09336527
"469","Bulgaria",1988,81.18454307
"470","Bulgaria",1989,80.24018801
"471","Bulgaria",1990,78.80583024
"472","Bulgaria",1991,78.0291693
"473","Bulgaria",1992,77.19573353
"474","Bulgaria",1993,76.58241887
"475","Bulgaria",1994,76.32279671
"476","Bulgaria",1995,75.98361204
"477","Bulgaria",1996,75.59275061
"478","Bulgaria",1997,75.13394197
"479","Bulgaria",1998,74.63424026
"480","Bulgaria",1999,74.2169755
"481","Bulgaria",2000,73.85132423
"482","Bulgaria",2001,72.3957516
"483","Bulgaria",2002,72.03272978
"484","Bulgaria",2003,71.48411327
"485","Bulgaria",2004,70.95310776
"486","Bulgaria",2005,70.4986377
"487","Bulgaria",2006,69.97166529
"488","Bulgaria",2007,69.47185342
"489","Bulgaria",2008,68.98592211
"490","Bulgaria",2009,68.57445652
"491","Bulgaria",2010,68.12453021
"492","Bulgaria",2011,67.68909359
"493","Bulgaria",2012,67.2981577
"494","Bulgaria",2013,66.92257738
"495","Bulgaria",2014,66.54327561
"496","Bulgaria",2015,66.120035
"497","Bulgaria",2016,65.65790346
"498","Cabo Verde",1985,78.1808933
"499","Cabo Verde",1986,79.44987593
"500","Cabo Verde",1987,80.61861042
"501","Cabo Verde",1988,81.80421836
"502","Cabo Verde",1989,83.17220844
"503","Cabo Verde",1990,84.83449132
"504","Cabo Verde",1991,86.83225806
"505","Cabo Verde",1992,89.10421836
"506","Cabo Verde",1993,91.56674938
"507","Cabo Verde",1994,94.08337469
"508","Cabo Verde",1995,96.55756824
"509","Cabo Verde",1996,98.95111663
"510","Cabo Verde",1997,101.2841191
"511","Cabo Verde",1998,103.5540943
"512","Cabo Verde",1999,105.7779156
"513","Cabo Verde",2000,107.9600496
"514","Cabo Verde",2001,110.1032258
"515","Cabo Verde",2002,112.1851117
"516","Cabo Verde",2003,114.180397
"517","Cabo Verde",2004,116.0456576
"518","Cabo Verde",2005,117.7585608
"519","Cabo Verde",2006,119.3039702
"520","Cabo Verde",2007,120.7042184
"521","Cabo Verde",2008,122.0156328
"522","Cabo Verde",2009,123.3158809
"523","Cabo Verde",2010,124.6610422
"524","Cabo Verde",2011,126.0712159
"525","Cabo Verde",2012,127.5382134
"526","Cabo Verde",2013,129.0585608
"527","Cabo Verde",2014,130.6295285
"528","Cabo Verde",2015,132.2364764
"529","Cabo Verde",2016,133.8858561
"530","Canada",1985,2.852803813
"531","Canada",1986,2.88161557
"532","Canada",1987,2.919664684
"533","Canada",1988,2.95760383
"534","Canada",1989,3.010828602
"535","Canada",1990,3.05613564
"536","Canada",1991,3.097998683
"537","Canada",1992,3.136258386
"538","Canada",1993,3.170767943
"539","Canada",1994,3.201393741
"540","Canada",1995,3.228016464
"541","Canada",1996,3.262975463
"542","Canada",1997,3.297648543
"543","Canada",1998,3.326317341
"544","Canada",1999,3.353952434
"545","Canada",2000,3.383698924
"546","Canada",2001,3.418031101
"547","Canada",2002,3.448833289
"548","Canada",2003,3.48336341
"549","Canada",2004,3.518443373
"550","Canada",2005,3.5533034
"551","Canada",2006,3.581730817
"552","Canada",2007,3.61663736
"553","Canada",2008,3.655989052
"554","Canada",2009,3.698084788
"555","Canada",2010,3.739510266
"556","Canada",2011,3.776625307
"557","Canada",2012,3.821466628
"558","Canada",2013,3.865654736
"559","Canada",2014,3.907770267
"560","Canada",2015,3.940449068
"561","Canada",2016,3.987965483
"562","Chile",1985,16.38265399
"563","Chile",1986,16.65578278
"564","Chile",1987,16.93826825
"565","Chile",1988,17.22726723
"566","Chile",1989,17.51881083
"567","Chile",1990,17.80976669
"568","Chile",1991,18.09907769
"569","Chile",1992,18.38660935
"570","Chile",1993,18.67124403
"571","Chile",1994,18.95195958
"572","Chile",1995,19.2279719
"573","Chile",1996,19.49858969
"574","Chile",1997,19.76355339
"575","Chile",1998,20.02301902
"576","Chile",1999,20.27747476
"577","Chile",2000,20.52736581
"578","Chile",2001,20.77243259
"579","Chile",2002,21.01272621
"580","Chile",2003,21.24930916
"581","Chile",2004,21.48364472
"582","Chile",2005,21.71670261
"583","Chile",2006,21.94901001
"584","Chile",2007,22.1801971
"585","Chile",2008,22.40917849
"586","Chile",2009,22.63445459
"587","Chile",2010,22.85490508
"588","Chile",2011,23.07009823
"589","Chile",2012,23.2804308
"590","Chile",2013,23.48652279
"591","Chile",2014,23.68936005
"592","Chile",2015,23.88959756
"593","Chile",2016,24.08740074
"594","Colombia",1985,27.95104822
"595","Colombia",1986,28.54418747
"596","Colombia",1987,29.134137
"597","Colombia",1988,29.72107706
"598","Colombia",1989,30.30594322
"599","Colombia",1990,30.88919784
"600","Colombia",1991,31.47072195
"601","Colombia",1992,32.04928526
"602","Colombia",1993,32.62295448
"603","Colombia",1994,33.1893078
"604","Colombia",1995,33.74671203
"605","Colombia",1996,34.2938603
"606","Colombia",1997,34.83137539
"607","Colombia",1998,35.3619306
"608","Colombia",1999,35.88939072
"609","Colombia",2000,36.41636593
"610","Colombia",2001,36.9435863
"611","Colombia",2002,37.46957278
"612","Colombia",2003,37.99202434
"613","Colombia",2004,38.50758269
"614","Colombia",2005,39.01364038
"615","Colombia",2006,39.50943849
"616","Colombia",2007,39.99510771
"617","Colombia",2008,40.4700712
"618","Colombia",2009,40.93391708
"619","Colombia",2010,41.38629743
"620","Colombia",2011,41.82663001
"621","Colombia",2012,42.25459667
"622","Colombia",2013,42.67055521
"623","Colombia",2014,43.07517891
"624","Colombia",2015,43.46885714
"625","Colombia",2016,43.85166201
"626","Costa Rica",1985,53.47107325
"627","Costa Rica",1986,54.85675676
"628","Costa Rica",1987,56.25168429
"629","Costa Rica",1988,57.66856639
"630","Costa Rica",1989,59.12563651
"631","Costa Rica",1990,60.63444967
"632","Costa Rica",1991,62.1944575
"633","Costa Rica",1992,63.79682726
"634","Costa Rica",1993,65.43290247
"635","Costa Rica",1994,67.09146103
"636","Costa Rica",1995,68.76079123
"637","Costa Rica",1996,70.44128476
"638","Costa Rica",1997,72.12544066
"639","Costa Rica",1998,73.78325499
"640","Costa Rica",1999,75.37647865
"641","Costa Rica",2000,76.87902468
"642","Costa Rica",2001,78.27649824
"643","Costa Rica",2002,79.57704661
"644","Costa Rica",2003,80.80632589
"645","Costa Rica",2004,82.00231101
"646","Costa Rica",2005,83.19312573
"647","Costa Rica",2006,84.38687818
"648","Costa Rica",2007,85.57518606
"649","Costa Rica",2008,86.75103799
"650","Costa Rica",2009,87.90174305
"651","Costa Rica",2010,89.01840971
"652","Costa Rica",2011,90.09937329
"653","Costa Rica",2012,91.15005875
"654","Costa Rica",2013,92.17393263
"655","Costa Rica",2014,93.1761653
"656","Costa Rica",2015,94.1608304
"657","Costa Rica",2016,95.12875049
"658","Croatia",1985,84.08155965
"659","Croatia",1986,84.4571633
"660","Croatia",1987,84.77910928
"661","Croatia",1988,85.08316938
"662","Croatia",1989,85.26202826
"663","Croatia",1990,85.4945448
"664","Croatia",1991,80.66535503
"665","Croatia",1992,79.94991951
"666","Croatia",1993,82.99052048
"667","Croatia",1994,83.16937936
"668","Croatia",1995,83.50921123
"669","Croatia",1996,80.27867095
"670","Croatia",1997,81.67202572
"671","Croatia",1998,80.50438204
"672","Croatia",1999,81.45233411
"673","Croatia",2000,79.16294044
"674","Croatia",2001,79.41334287
"675","Croatia",2002,79.41334287
"676","Croatia",2003,79.41334287
"677","Croatia",2004,79.32451751
"678","Croatia",2005,79.37812723
"679","Croatia",2006,79.34238742
"680","Croatia",2007,79.27090779
"681","Croatia",2008,79.24424589
"682","Croatia",2009,79.14721229
"683","Croatia",2010,78.94533595
"684","Croatia",2011,76.49431737
"685","Croatia",2012,76.2608649
"686","Croatia",2013,76.04876698
"687","Croatia",2014,75.73961758
"688","Croatia",2015,75.11801287
"689","Croatia",2016,74.59522873
"690","Cuba",1985,93.88257914
"691","Cuba",1986,94.67492551
"692","Cuba",1987,95.61980447
"693","Cuba",1988,96.64383613
"694","Cuba",1989,97.6397486
"695","Cuba",1990,98.52961825
"696","Cuba",1991,99.28850093
"697","Cuba",1992,99.93820298
"698","Cuba",1993,100.5040503
"699","Cuba",1994,101.0296555
"700","Cuba",1995,101.5460242
"701","Cuba",1996,102.0578399
"702","Cuba",1997,102.5510521
"703","Cuba",1998,103.0176629
"704","Cuba",1999,103.4451024
"705","Cuba",2000,103.8243575
"706","Cuba",2001,104.1577467
"707","Cuba",2002,105.442222
"708","Cuba",2003,105.6850094
"709","Cuba",2004,105.8823513
"710","Cuba",2005,106.0151541
"711","Cuba",2006,106.1376773
"712","Cuba",2007,106.1977358
"713","Cuba",2008,106.2547351
"714","Cuba",2009,106.3378617
"715","Cuba",2010,106.4736095
"716","Cuba",2011,106.2542808
"717","Cuba",2012,106.9258103
"718","Cuba",2013,109.5007388
"719","Cuba",2014,109.9766103
"720","Cuba",2015,110.1848875
"721","Cuba",2016,110.3247645
"722","Cyprus",1985,76.15660173
"723","Cyprus",1986,77.09318182
"724","Cyprus",1987,78.28787879
"725","Cyprus",1988,79.70551948
"726","Cyprus",1989,81.28181818
"727","Cyprus",1990,82.96688312
"728","Cyprus",1991,84.75422078
"729","Cyprus",1992,86.64599567
"730","Cyprus",1993,88.60941558
"731","Cyprus",1994,90.59632035
"732","Cyprus",1995,92.57402597
"733","Cyprus",1996,94.5262987
"734","Cyprus",1997,96.44935065
"735","Cyprus",1998,98.34458874
"736","Cyprus",1999,100.2218615
"737","Cyprus",2000,102.0872294
"738","Cyprus",2001,103.9266234
"739","Cyprus",2002,105.7322511
"740","Cyprus",2003,107.5284632
"741","Cyprus",2004,109.3517316
"742","Cyprus",2005,111.2183983
"743","Cyprus",2006,113.1503247
"744","Cyprus",2007,115.1203463
"745","Cyprus",2008,117.0522727
"746","Cyprus",2009,118.8393939
"747","Cyprus",2010,120.412013
"748","Cyprus",2011,121.7353896
"749","Cyprus",2012,122.8422078
"750","Cyprus",2013,123.7982684
"751","Cyprus",2014,124.7087662
"752","Cyprus",2015,125.6477273
"753","Cyprus",2016,126.6369048
"754","Czech Republic",1985,133.7791899
"755","Czech Republic",1986,133.8453087
"756","Czech Republic",1987,133.9111945
"757","Czech Republic",1988,134.014184
"758","Czech Republic",1989,134.089142
"759","Czech Republic",1990,133.7304905
"760","Czech Republic",1991,133.4098356
"761","Czech Republic",1992,133.5463052
"762","Czech Republic",1993,133.6851948
"763","Czech Republic",1994,133.7334929
"764","Czech Republic",1995,133.6515206
"765","Czech Republic",1996,133.4960657
"766","Czech Republic",1997,133.3522842
"767","Czech Republic",1998,133.2259997
"768","Czech Republic",1999,133.0899444
"769","Czech Republic",2000,132.7172641
"770","Czech Republic",2001,132.2195548
"771","Czech Republic",2002,131.964747
